"","V1","V2","V3","V4","Decyzja"
"1","Recency (months)","Frequency (times)","Monetary (c.c. blood)","Time (months)","whether he/she donated blood in March 2007"
"2","2 ","50","12500","98 ","1"
"3","0 ","13","3250","28 ","1"
"4","1 ","16","4000","35 ","1"
"5","2 ","20","5000","45 ","1"
"6","1 ","24","6000","77 ","0"
"7","4 ","4","1000","4 ","0"
"8","2 ","7","1750","14 ","1"
"9","1 ","12","3000","35 ","0"
"10","2 ","9","2250","22 ","1"
"11","5 ","46","11500","98 ","1"
"12","4 ","23","5750","58 ","0"
"13","0 ","3","750","4 ","0"
"14","2 ","10","2500","28 ","1"
"15","1 ","13","3250","47 ","0"
"16","2 ","6","1500","15 ","1"
"17","2 ","5","1250","11 ","1"
"18","2 ","14","3500","48 ","1"
"19","2 ","15","3750","49 ","1"
"20","2 ","6","1500","15 ","1"
"21","2 ","3","750","4 ","1"
"22","2 ","3","750","4 ","1"
"23","4 ","11","2750","28 ","0"
"24","2 ","6","1500","16 ","1"
"25","2 ","6","1500","16 ","1"
"26","9 ","9","2250","16 ","0"
"27","4 ","14","3500","40 ","0"
"28","4 ","6","1500","14 ","0"
"29","4 ","12","3000","34 ","1"
"30","4 ","5","1250","11 ","1"
"31","4 ","8","2000","21 ","0"
"32","1 ","14","3500","58 ","0"
"33","4 ","10","2500","28 ","1"
"34","4 ","10","2500","28 ","1"
"35","4 ","9","2250","26 ","1"
"36","2 ","16","4000","64 ","0"
"37","2 ","8","2000","28 ","1"
"38","2 ","12","3000","47 ","1"
"39","4 ","6","1500","16 ","1"
"40","2 ","14","3500","57 ","1"
"41","4 ","7","1750","22 ","1"
"42","2 ","13","3250","53 ","1"
"43","2 ","5","1250","16 ","0"
"44","2 ","5","1250","16 ","1"
"45","2 ","5","1250","16 ","0"
"46","4 ","20","5000","69 ","1"
"47","4 ","9","2250","28 ","1"
"48","2 ","9","2250","36 ","0"
"49","2 ","2","500","2 ","0"
"50","2 ","2","500","2 ","0"
"51","2 ","2","500","2 ","0"
"52","2 ","11","2750","46 ","0"
"53","2 ","11","2750","46 ","1"
"54","2 ","6","1500","22 ","0"
"55","2 ","12","3000","52 ","0"
"56","4 ","5","1250","14 ","1"
"57","4 ","19","4750","69 ","1"
"58","4 ","8","2000","26 ","1"
"59","2 ","7","1750","28 ","1"
"60","2 ","16","4000","81 ","0"
"61","3 ","6","1500","21 ","0"
"62","2 ","7","1750","29 ","0"
"63","2 ","8","2000","35 ","1"
"64","2 ","10","2500","49 ","0"
"65","4 ","5","1250","16 ","1"
"66","2 ","3","750","9 ","1"
"67","3 ","16","4000","74 ","0"
"68","2 ","4","1000","14 ","1"
"69","0 ","2","500","4 ","0"
"70","4 ","7","1750","25 ","0"
"71","1 ","9","2250","51 ","0"
"72","2 ","4","1000","16 ","0"
"73","2 ","4","1000","16 ","0"
"74","4 ","17","4250","71 ","1"
"75","2 ","2","500","4 ","0"
"76","2 ","2","500","4 ","1"
"77","2 ","2","500","4 ","1"
"78","2 ","4","1000","16 ","1"
"79","2 ","2","500","4 ","0"
"80","2 ","2","500","4 ","0"
"81","2 ","2","500","4 ","0"
"82","4 ","6","1500","23 ","1"
"83","2 ","4","1000","16 ","0"
"84","2 ","4","1000","16 ","0"
"85","2 ","4","1000","16 ","0"
"86","2 ","6","1500","28 ","1"
"87","2 ","6","1500","28 ","0"
"88","4 ","2","500","4 ","0"
"89","4 ","2","500","4 ","0"
"90","4 ","2","500","4 ","0"
"91","2 ","7","1750","35 ","1"
"92","4 ","2","500","4 ","1"
"93","4 ","2","500","4 ","0"
"94","4 ","2","500","4 ","0"
"95","4 ","2","500","4 ","0"
"96","12 ","11","2750","23 ","0"
"97","4 ","7","1750","28 ","0"
"98","3 ","17","4250","86 ","0"
"99","4 ","9","2250","38 ","1"
"100","4 ","4","1000","14 ","1"
"101","5 ","7","1750","26 ","1"
"102","4 ","8","2000","34 ","1"
"103","2 ","13","3250","76 ","1"
"104","4 ","9","2250","40 ","0"
"105","2 ","5","1250","26 ","0"
"106","2 ","5","1250","26 ","0"
"107","6 ","17","4250","70 ","0"
"108","0 ","8","2000","59 ","0"
"109","3 ","5","1250","26 ","0"
"110","2 ","3","750","14 ","0"
"111","2 ","10","2500","64 ","0"
"112","4 ","5","1250","23 ","1"
"113","4 ","9","2250","46 ","0"
"114","4 ","5","1250","23 ","0"
"115","4 ","8","2000","40 ","1"
"116","2 ","12","3000","82 ","0"
"117","11 ","24","6000","64 ","0"
"118","2 ","7","1750","46 ","1"
"119","4 ","11","2750","61 ","0"
"120","1 ","7","1750","57 ","0"
"121","2 ","11","2750","79 ","1"
"122","2 ","3","750","16 ","1"
"123","4 ","5","1250","26 ","1"
"124","2 ","6","1500","41 ","1"
"125","2 ","5","1250","33 ","1"
"126","2 ","4","1000","26 ","0"
"127","2 ","5","1250","34 ","0"
"128","4 ","8","2000","46 ","1"
"129","2 ","4","1000","26 ","0"
"130","4 ","8","2000","48 ","1"
"131","2 ","2","500","10 ","1"
"132","4 ","5","1250","28 ","0"
"133","2 ","12","3000","95 ","0"
"134","2 ","2","500","10 ","0"
"135","4 ","6","1500","35 ","0"
"136","2 ","11","2750","88 ","0"
"137","2 ","3","750","19 ","0"
"138","2 ","5","1250","37 ","0"
"139","2 ","12","3000","98 ","0"
"140","9 ","5","1250","19 ","0"
"141","2 ","2","500","11 ","0"
"142","2 ","9","2250","74 ","0"
"143","5 ","14","3500","86 ","0"
"144","4 ","3","750","16 ","0"
"145","4 ","3","750","16 ","0"
"146","4 ","2","500","9 ","1"
"147","4 ","3","750","16 ","1"
"148","6 ","3","750","14 ","0"
"149","2 ","2","500","11 ","0"
"150","2 ","2","500","11 ","1"
"151","2 ","2","500","11 ","0"
"152","2 ","7","1750","58 ","1"
"153","4 ","6","1500","39 ","0"
"154","4 ","11","2750","78 ","0"
"155","2 ","1","250","2 ","1"
"156","2 ","1","250","2 ","0"
"157","2 ","1","250","2 ","0"
"158","2 ","1","250","2 ","0"
"159","2 ","1","250","2 ","0"
"160","2 ","1","250","2 ","0"
"161","2 ","1","250","2 ","0"
"162","2 ","1","250","2 ","0"
"163","2 ","1","250","2 ","0"
"164","2 ","1","250","2 ","0"
"165","2 ","1","250","2 ","1"
"166","2 ","1","250","2 ","1"
"167","2 ","1","250","2 ","1"
"168","2 ","1","250","2 ","0"
"169","2 ","1","250","2 ","0"
"170","2 ","1","250","2 ","0"
"171","2 ","1","250","2 ","0"
"172","2 ","1","250","2 ","0"
"173","2 ","1","250","2 ","0"
"174","2 ","1","250","2 ","0"
"175","2 ","1","250","2 ","0"
"176","2 ","1","250","2 ","0"
"177","11 ","10","2500","35 ","0"
"178","11 ","4","1000","16 ","1"
"179","4 ","5","1250","33 ","1"
"180","4 ","6","1500","41 ","1"
"181","2 ","3","750","22 ","0"
"182","4 ","4","1000","26 ","1"
"183","10 ","4","1000","16 ","0"
"184","2 ","4","1000","35 ","0"
"185","4 ","12","3000","88 ","0"
"186","13 ","8","2000","26 ","0"
"187","11 ","9","2250","33 ","0"
"188","4 ","5","1250","34 ","0"
"189","4 ","4","1000","26 ","0"
"190","8 ","15","3750","77 ","0"
"191","4 ","5","1250","35 ","1"
"192","4 ","7","1750","52 ","0"
"193","4 ","7","1750","52 ","0"
"194","2 ","4","1000","35 ","0"
"195","11 ","11","2750","42 ","0"
"196","2 ","2","500","14 ","0"
"197","2 ","5","1250","47 ","1"
"198","9 ","8","2000","38 ","1"
"199","4 ","6","1500","47 ","0"
"200","11 ","7","1750","29 ","0"
"201","9 ","9","2250","45 ","0"
"202","4 ","6","1500","52 ","0"
"203","4 ","7","1750","58 ","0"
"204","6 ","2","500","11 ","1"
"205","4 ","7","1750","58 ","0"
"206","11 ","9","2250","38 ","0"
"207","11 ","6","1500","26 ","0"
"208","2 ","2","500","16 ","0"
"209","2 ","7","1750","76 ","0"
"210","11 ","6","1500","27 ","0"
"211","11 ","3","750","14 ","0"
"212","4 ","1","250","4 ","0"
"213","4 ","1","250","4 ","0"
"214","4 ","1","250","4 ","0"
"215","4 ","1","250","4 ","0"
"216","4 ","1","250","4 ","0"
"217","4 ","1","250","4 ","1"
"218","4 ","1","250","4 ","0"
"219","4 ","1","250","4 ","0"
"220","4 ","1","250","4 ","0"
"221","4 ","1","250","4 ","0"
"222","4 ","1","250","4 ","0"
"223","4 ","1","250","4 ","1"
"224","4 ","1","250","4 ","1"
"225","4 ","1","250","4 ","0"
"226","4 ","1","250","4 ","1"
"227","4 ","1","250","4 ","1"
"228","4 ","1","250","4 ","0"
"229","4 ","3","750","24 ","0"
"230","4 ","1","250","4 ","0"
"231","4 ","1","250","4 ","0"
"232","4 ","1","250","4 ","0"
"233","4 ","1","250","4 ","1"
"234","4 ","1","250","4 ","0"
"235","10 ","8","2000","39 ","0"
"236","14 ","7","1750","26 ","0"
"237","8 ","10","2500","63 ","0"
"238","11 ","3","750","15 ","0"
"239","4 ","2","500","14 ","0"
"240","2 ","4","1000","43 ","0"
"241","8 ","9","2250","58 ","0"
"242","8 ","8","2000","52 ","1"
"243","11 ","22","5500","98 ","0"
"244","4 ","3","750","25 ","1"
"245","11 ","17","4250","79 ","1"
"246","9 ","2","500","11 ","0"
"247","4 ","5","1250","46 ","0"
"248","11 ","12","3000","58 ","0"
"249","7 ","12","3000","86 ","0"
"250","11 ","2","500","11 ","0"
"251","11 ","2","500","11 ","0"
"252","11 ","2","500","11 ","0"
"253","2 ","6","1500","75 ","0"
"254","11 ","8","2000","41 ","1"
"255","11 ","3","750","16 ","1"
"256","12 ","13","3250","59 ","0"
"257","2 ","3","750","35 ","0"
"258","16 ","8","2000","28 ","0"
"259","11 ","7","1750","37 ","0"
"260","4 ","3","750","28 ","0"
"261","12 ","12","3000","58 ","0"
"262","4 ","4","1000","41 ","0"
"263","11 ","14","3500","73 ","1"
"264","2 ","2","500","23 ","0"
"265","2 ","3","750","38 ","1"
"266","4 ","5","1250","58 ","0"
"267","4 ","4","1000","43 ","1"
"268","3 ","2","500","23 ","0"
"269","11 ","8","2000","46 ","0"
"270","4 ","7","1750","82 ","0"
"271","13 ","4","1000","21 ","0"
"272","16 ","11","2750","40 ","0"
"273","16 ","7","1750","28 ","0"
"274","7 ","2","500","16 ","0"
"275","4 ","5","1250","58 ","0"
"276","4 ","5","1250","58 ","0"
"277","4 ","4","1000","46 ","0"
"278","14 ","13","3250","57 ","0"
"279","4 ","3","750","34 ","0"
"280","14 ","18","4500","78 ","0"
"281","11 ","8","2000","48 ","0"
"282","14 ","16","4000","70 ","0"
"283","14 ","4","1000","22 ","1"
"284","14 ","5","1250","26 ","0"
"285","8 ","2","500","16 ","0"
"286","11 ","5","1250","33 ","0"
"287","11 ","2","500","14 ","0"
"288","4 ","2","500","23 ","0"
"289","9 ","2","500","16 ","1"
"290","14 ","5","1250","28 ","1"
"291","14 ","3","750","19 ","1"
"292","14 ","4","1000","23 ","1"
"293","16 ","12","3000","50 ","0"
"294","11 ","4","1000","28 ","0"
"295","11 ","5","1250","35 ","0"
"296","11 ","5","1250","35 ","0"
"297","2 ","4","1000","70 ","0"
"298","14 ","5","1250","28 ","0"
"299","14 ","2","500","14 ","0"
"300","14 ","2","500","14 ","0"
"301","14 ","2","500","14 ","0"
"302","14 ","2","500","14 ","0"
"303","14 ","2","500","14 ","0"
"304","14 ","2","500","14 ","0"
"305","2 ","3","750","52 ","0"
"306","14 ","6","1500","34 ","0"
"307","11 ","5","1250","37 ","1"
"308","4 ","5","1250","74 ","0"
"309","11 ","3","750","23 ","0"
"310","16 ","4","1000","23 ","0"
"311","16 ","3","750","19 ","0"
"312","11 ","5","1250","38 ","0"
"313","11 ","2","500","16 ","0"
"314","12 ","9","2250","60 ","0"
"315","9 ","1","250","9 ","0"
"316","9 ","1","250","9 ","0"
"317","4 ","2","500","29 ","0"
"318","11 ","2","500","17 ","0"
"319","14 ","4","1000","26 ","0"
"320","11 ","9","2250","72 ","1"
"321","11 ","5","1250","41 ","0"
"322","15 ","16","4000","82 ","0"
"323","9 ","5","1250","51 ","1"
"324","11 ","4","1000","34 ","0"
"325","14 ","8","2000","50 ","1"
"326","16 ","7","1750","38 ","0"
"327","14 ","2","500","16 ","0"
"328","2 ","2","500","41 ","0"
"329","14 ","16","4000","98 ","0"
"330","14 ","4","1000","28 ","1"
"331","16 ","7","1750","39 ","0"
"332","14 ","7","1750","47 ","0"
"333","16 ","6","1500","35 ","0"
"334","16 ","6","1500","35 ","1"
"335","11 ","7","1750","62 ","1"
"336","16 ","2","500","16 ","0"
"337","16 ","3","750","21 ","1"
"338","11 ","3","750","28 ","0"
"339","11 ","7","1750","64 ","0"
"340","11 ","1","250","11 ","1"
"341","9 ","3","750","34 ","0"
"342","14 ","4","1000","30 ","0"
"343","23 ","38","9500","98 ","0"
"344","11 ","6","1500","58 ","0"
"345","11 ","1","250","11 ","0"
"346","11 ","1","250","11 ","0"
"347","11 ","1","250","11 ","0"
"348","11 ","1","250","11 ","0"
"349","11 ","1","250","11 ","0"
"350","11 ","1","250","11 ","0"
"351","11 ","1","250","11 ","0"
"352","11 ","1","250","11 ","0"
"353","11 ","2","500","21 ","0"
"354","11 ","5","1250","50 ","0"
"355","11 ","2","500","21 ","0"
"356","16 ","4","1000","28 ","0"
"357","4 ","2","500","41 ","0"
"358","16 ","6","1500","40 ","0"
"359","14 ","3","750","26 ","0"
"360","9 ","2","500","26 ","0"
"361","21 ","16","4000","64 ","0"
"362","14 ","6","1500","51 ","0"
"363","11 ","2","500","24 ","0"
"364","4 ","3","750","71 ","0"
"365","21 ","13","3250","57 ","0"
"366","11 ","6","1500","71 ","0"
"367","14 ","2","500","21 ","1"
"368","23 ","15","3750","57 ","0"
"369","14 ","4","1000","38 ","0"
"370","11 ","2","500","26 ","0"
"371","16 ","5","1250","40 ","1"
"372","4 ","2","500","51 ","1"
"373","14 ","3","750","31 ","0"
"374","4 ","2","500","52 ","0"
"375","9 ","4","1000","65 ","0"
"376","14 ","4","1000","40 ","0"
"377","11 ","3","750","40 ","1"
"378","14 ","5","1250","50 ","0"
"379","14 ","1","250","14 ","0"
"380","14 ","1","250","14 ","0"
"381","14 ","1","250","14 ","0"
"382","14 ","1","250","14 ","0"
"383","14 ","1","250","14 ","0"
"384","14 ","1","250","14 ","0"
"385","14 ","1","250","14 ","0"
"386","14 ","1","250","14 ","0"
"387","14 ","7","1750","72 ","0"
"388","14 ","1","250","14 ","0"
"389","14 ","1","250","14 ","0"
"390","9 ","3","750","52 ","0"
"391","14 ","7","1750","73 ","0"
"392","11 ","4","1000","58 ","0"
"393","11 ","4","1000","59 ","0"
"394","4 ","2","500","59 ","0"
"395","11 ","4","1000","61 ","0"
"396","16 ","4","1000","40 ","0"
"397","16 ","10","2500","89 ","0"
"398","21 ","2","500","21 ","1"
"399","21 ","3","750","26 ","0"
"400","16 ","8","2000","76 ","0"
"401","21 ","3","750","26 ","1"
"402","18 ","2","500","23 ","0"
"403","23 ","5","1250","33 ","0"
"404","23 ","8","2000","46 ","0"
"405","16 ","3","750","34 ","0"
"406","14 ","5","1250","64 ","0"
"407","14 ","3","750","41 ","0"
"408","16 ","1","250","16 ","0"
"409","16 ","1","250","16 ","0"
"410","16 ","1","250","16 ","0"
"411","16 ","1","250","16 ","0"
"412","16 ","1","250","16 ","0"
"413","16 ","1","250","16 ","0"
"414","16 ","1","250","16 ","0"
"415","16 ","4","1000","45 ","0"
"416","16 ","1","250","16 ","0"
"417","16 ","1","250","16 ","0"
"418","16 ","1","250","16 ","0"
"419","16 ","1","250","16 ","0"
"420","16 ","1","250","16 ","0"
"421","16 ","2","500","26 ","0"
"422","21 ","2","500","23 ","0"
"423","16 ","2","500","27 ","0"
"424","21 ","2","500","23 ","0"
"425","21 ","2","500","23 ","0"
"426","14 ","4","1000","57 ","0"
"427","16 ","5","1250","60 ","0"
"428","23 ","2","500","23 ","0"
"429","14 ","5","1250","74 ","0"
"430","23 ","3","750","28 ","0"
"431","16 ","3","750","40 ","0"
"432","9 ","2","500","52 ","0"
"433","9 ","2","500","52 ","0"
"434","16 ","7","1750","87 ","1"
"435","14 ","4","1000","64 ","0"
"436","14 ","2","500","35 ","0"
"437","16 ","7","1750","93 ","0"
"438","21 ","2","500","25 ","0"
"439","14 ","3","750","52 ","0"
"440","23 ","14","3500","93 ","0"
"441","18 ","8","2000","95 ","0"
"442","16 ","3","750","46 ","0"
"443","11 ","3","750","76 ","0"
"444","11 ","2","500","52 ","0"
"445","11 ","3","750","76 ","0"
"446","23 ","12","3000","86 ","0"
"447","21 ","3","750","35 ","0"
"448","23 ","2","500","26 ","0"
"449","23 ","2","500","26 ","0"
"450","23 ","8","2000","64 ","0"
"451","16 ","3","750","50 ","0"
"452","23 ","3","750","33 ","0"
"453","21 ","3","750","38 ","0"
"454","23 ","2","500","28 ","0"
"455","21 ","1","250","21 ","0"
"456","21 ","1","250","21 ","0"
"457","21 ","1","250","21 ","0"
"458","21 ","1","250","21 ","0"
"459","21 ","1","250","21 ","0"
"460","21 ","1","250","21 ","0"
"461","21 ","1","250","21 ","0"
"462","21 ","1","250","21 ","0"
"463","21 ","1","250","21 ","0"
"464","21 ","1","250","21 ","1"
"465","21 ","1","250","21 ","0"
"466","21 ","1","250","21 ","0"
"467","21 ","5","1250","60 ","0"
"468","23 ","4","1000","45 ","0"
"469","21 ","4","1000","52 ","0"
"470","22 ","1","250","22 ","1"
"471","11 ","2","500","70 ","0"
"472","23 ","5","1250","58 ","0"
"473","23 ","3","750","40 ","0"
"474","23 ","3","750","41 ","0"
"475","14 ","3","750","83 ","0"
"476","21 ","2","500","35 ","0"
"477","26 ","5","1250","49 ","1"
"478","23 ","6","1500","70 ","0"
"479","23 ","1","250","23 ","0"
"480","23 ","1","250","23 ","0"
"481","23 ","1","250","23 ","0"
"482","23 ","1","250","23 ","0"
"483","23 ","1","250","23 ","0"
"484","23 ","1","250","23 ","0"
"485","23 ","1","250","23 ","0"
"486","23 ","1","250","23 ","0"
"487","23 ","4","1000","53 ","0"
"488","21 ","6","1500","86 ","0"
"489","23 ","3","750","48 ","0"
"490","21 ","2","500","41 ","0"
"491","21 ","3","750","64 ","0"
"492","16 ","2","500","70 ","0"
"493","21 ","3","750","70 ","0"
"494","23 ","4","1000","87 ","0"
"495","23 ","3","750","89 ","0"
"496","23 ","2","500","87 ","0"
"497","35 ","3","750","64 ","0"
"498","38 ","1","250","38 ","0"
"499","38 ","1","250","38 ","0"
"500","40 ","1","250","40 ","0"
"501","74 ","1","250","74 ","0"
"502","2 ","43","10750","86 ","1"
"503","6 ","22","5500","28 ","1"
"504","2 ","34","8500","77 ","1"
"505","2 ","44","11000","98 ","0"
"506","0 ","26","6500","76 ","1"
"507","2 ","41","10250","98 ","1"
"508","3 ","21","5250","42 ","1"
"509","2 ","11","2750","23 ","0"
"510","2 ","21","5250","52 ","1"
"511","2 ","13","3250","32 ","1"
"512","4 ","4","1000","4 ","1"
"513","2 ","11","2750","26 ","0"
"514","2 ","11","2750","28 ","0"
"515","3 ","14","3500","35 ","0"
"516","4 ","16","4000","38 ","1"
"517","4 ","6","1500","14 ","0"
"518","3 ","5","1250","12 ","1"
"519","4 ","33","8250","98 ","1"
"520","3 ","10","2500","33 ","1"
"521","4 ","10","2500","28 ","1"
"522","2 ","11","2750","40 ","1"
"523","2 ","11","2750","41 ","1"
"524","4 ","13","3250","39 ","1"
"525","1 ","10","2500","43 ","1"
"526","4 ","9","2250","28 ","0"
"527","2 ","4","1000","11 ","0"
"528","2 ","5","1250","16 ","1"
"529","2 ","15","3750","64 ","0"
"530","5 ","24","6000","79 ","0"
"531","2 ","6","1500","22 ","1"
"532","4 ","5","1250","16 ","1"
"533","2 ","4","1000","14 ","1"
"534","4 ","8","2000","28 ","0"
"535","2 ","4","1000","14 ","0"
"536","2 ","6","1500","26 ","0"
"537","4 ","5","1250","16 ","1"
"538","2 ","7","1750","32 ","1"
"539","2 ","6","1500","26 ","1"
"540","2 ","8","2000","38 ","1"
"541","2 ","2","500","4 ","1"
"542","2 ","6","1500","28 ","1"
"543","2 ","10","2500","52 ","0"
"544","4 ","16","4000","70 ","1"
"545","4 ","2","500","4 ","1"
"546","1 ","14","3500","95 ","0"
"547","4 ","2","500","4 ","1"
"548","7 ","14","3500","48 ","0"
"549","2 ","3","750","11 ","0"
"550","2 ","12","3000","70 ","1"
"551","4 ","7","1750","32 ","1"
"552","4 ","4","1000","16 ","0"
"553","2 ","6","1500","35 ","1"
"554","4 ","6","1500","28 ","1"
"555","2 ","3","750","14 ","0"
"556","2 ","4","1000","23 ","0"
"557","4 ","4","1000","18 ","0"
"558","5 ","6","1500","28 ","0"
"559","4 ","6","1500","30 ","0"
"560","14 ","5","1250","14 ","0"
"561","3 ","8","2000","50 ","0"
"562","4 ","11","2750","64 ","1"
"563","4 ","9","2250","52 ","0"
"564","4 ","16","4000","98 ","1"
"565","7 ","10","2500","47 ","0"
"566","4 ","14","3500","86 ","0"
"567","2 ","9","2250","75 ","0"
"568","4 ","6","1500","35 ","0"
"569","4 ","9","2250","55 ","0"
"570","4 ","6","1500","35 ","1"
"571","2 ","6","1500","45 ","0"
"572","2 ","6","1500","47 ","0"
"573","4 ","2","500","9 ","0"
"574","2 ","2","500","11 ","1"
"575","2 ","2","500","11 ","0"
"576","2 ","2","500","11 ","1"
"577","4 ","6","1500","38 ","1"
"578","3 ","4","1000","29 ","1"
"579","9 ","9","2250","38 ","0"
"580","11 ","5","1250","18 ","0"
"581","2 ","3","750","21 ","0"
"582","2 ","1","250","2 ","0"
"583","2 ","1","250","2 ","1"
"584","2 ","1","250","2 ","0"
"585","2 ","1","250","2 ","0"
"586","2 ","1","250","2 ","0"
"587","2 ","1","250","2 ","0"
"588","2 ","1","250","2 ","1"
"589","2 ","1","250","2 ","0"
"590","2 ","1","250","2 ","0"
"591","2 ","1","250","2 ","0"
"592","2 ","1","250","2 ","0"
"593","11 ","11","2750","38 ","0"
"594","2 ","3","750","22 ","0"
"595","9 ","11","2750","49 ","1"
"596","5 ","11","2750","75 ","0"
"597","3 ","5","1250","38 ","0"
"598","3 ","1","250","3 ","1"
"599","4 ","6","1500","43 ","0"
"600","2 ","3","750","24 ","0"
"601","12 ","11","2750","39 ","0"
"602","2 ","2","500","14 ","0"
"603","4 ","6","1500","46 ","0"
"604","9 ","3","750","14 ","0"
"605","14 ","8","2000","26 ","0"
"606","4 ","2","500","13 ","0"
"607","4 ","11","2750","95 ","0"
"608","2 ","7","1750","77 ","0"
"609","2 ","7","1750","77 ","0"
"610","4 ","1","250","4 ","0"
"611","4 ","1","250","4 ","0"
"612","4 ","1","250","4 ","0"
"613","4 ","1","250","4 ","0"
"614","4 ","1","250","4 ","1"
"615","4 ","1","250","4 ","0"
"616","4 ","1","250","4 ","0"
"617","4 ","1","250","4 ","0"
"618","4 ","1","250","4 ","0"
"619","4 ","1","250","4 ","0"
"620","4 ","1","250","4 ","1"
"621","4 ","1","250","4 ","0"
"622","4 ","7","1750","62 ","0"
"623","4 ","1","250","4 ","0"
"624","4 ","4","1000","34 ","1"
"625","11 ","6","1500","28 ","0"
"626","13 ","3","750","14 ","1"
"627","7 ","5","1250","35 ","0"
"628","9 ","9","2250","54 ","0"
"629","11 ","2","500","11 ","0"
"630","2 ","5","1250","63 ","0"
"631","7 ","11","2750","89 ","0"
"632","8 ","9","2250","64 ","0"
"633","2 ","2","500","22 ","0"
"634","6 ","3","750","26 ","0"
"635","12 ","15","3750","71 ","0"
"636","13 ","3","750","16 ","0"
"637","11 ","16","4000","89 ","0"
"638","4 ","5","1250","58 ","0"
"639","14 ","7","1750","35 ","0"
"640","11 ","4","1000","27 ","0"
"641","7 ","9","2250","89 ","1"
"642","11 ","8","2000","52 ","1"
"643","7 ","5","1250","52 ","0"
"644","11 ","6","1500","41 ","0"
"645","10 ","5","1250","38 ","0"
"646","14 ","2","500","14 ","1"
"647","14 ","2","500","14 ","0"
"648","14 ","2","500","14 ","0"
"649","2 ","2","500","33 ","0"
"650","11 ","3","750","23 ","0"
"651","14 ","8","2000","46 ","0"
"652","9 ","1","250","9 ","0"
"653","16 ","5","1250","27 ","0"
"654","14 ","4","1000","26 ","0"
"655","4 ","2","500","30 ","0"
"656","14 ","3","750","21 ","0"
"657","16 ","16","4000","77 ","0"
"658","4 ","2","500","31 ","0"
"659","14 ","8","2000","50 ","0"
"660","11 ","3","750","26 ","0"
"661","14 ","7","1750","45 ","0"
"662","15 ","5","1250","33 ","0"
"663","16 ","2","500","16 ","0"
"664","16 ","3","750","21 ","0"
"665","11 ","8","2000","72 ","0"
"666","11 ","1","250","11 ","0"
"667","11 ","1","250","11 ","0"
"668","11 ","1","250","11 ","0"
"669","11 ","1","250","11 ","1"
"670","11 ","1","250","11 ","0"
"671","2 ","3","750","75 ","1"
"672","2 ","3","750","77 ","0"
"673","16 ","4","1000","28 ","0"
"674","16 ","15","3750","87 ","0"
"675","16 ","14","3500","83 ","0"
"676","16 ","10","2500","62 ","0"
"677","16 ","3","750","23 ","0"
"678","14 ","3","750","26 ","0"
"679","23 ","19","4750","62 ","0"
"680","11 ","7","1750","75 ","0"
"681","14 ","3","750","28 ","0"
"682","20 ","14","3500","69 ","1"
"683","4 ","2","500","46 ","0"
"684","11 ","2","500","25 ","0"
"685","11 ","3","750","37 ","0"
"686","16 ","4","1000","33 ","0"
"687","21 ","7","1750","38 ","0"
"688","13 ","7","1750","76 ","0"
"689","16 ","6","1500","50 ","0"
"690","14 ","3","750","33 ","0"
"691","14 ","1","250","14 ","0"
"692","14 ","1","250","14 ","0"
"693","14 ","1","250","14 ","0"
"694","14 ","1","250","14 ","0"
"695","14 ","1","250","14 ","0"
"696","14 ","1","250","14 ","0"
"697","17 ","7","1750","58 ","1"
"698","14 ","3","750","35 ","0"
"699","14 ","3","750","35 ","0"
"700","16 ","7","1750","64 ","0"
"701","21 ","2","500","21 ","0"
"702","16 ","3","750","35 ","0"
"703","16 ","1","250","16 ","0"
"704","16 ","1","250","16 ","0"
"705","16 ","1","250","16 ","0"
"706","16 ","1","250","16 ","0"
"707","16 ","1","250","16 ","0"
"708","14 ","2","500","29 ","0"
"709","11 ","4","1000","74 ","0"
"710","11 ","2","500","38 ","1"
"711","21 ","6","1500","48 ","0"
"712","23 ","2","500","23 ","0"
"713","23 ","6","1500","45 ","0"
"714","14 ","2","500","35 ","1"
"715","16 ","6","1500","81 ","0"
"716","16 ","4","1000","58 ","0"
"717","16 ","5","1250","71 ","0"
"718","21 ","2","500","26 ","0"
"719","21 ","3","750","35 ","0"
"720","21 ","3","750","35 ","0"
"721","23 ","8","2000","69 ","0"
"722","21 ","3","750","38 ","0"
"723","23 ","3","750","35 ","0"
"724","21 ","3","750","40 ","0"
"725","23 ","2","500","28 ","0"
"726","21 ","1","250","21 ","0"
"727","21 ","1","250","21 ","0"
"728","25 ","6","1500","50 ","0"
"729","21 ","1","250","21 ","0"
"730","21 ","1","250","21 ","0"
"731","23 ","3","750","39 ","0"
"732","21 ","2","500","33 ","0"
"733","14 ","3","750","79 ","0"
"734","23 ","1","250","23 ","1"
"735","23 ","1","250","23 ","0"
"736","23 ","1","250","23 ","0"
"737","23 ","1","250","23 ","0"
"738","23 ","1","250","23 ","0"
"739","23 ","1","250","23 ","0"
"740","23 ","1","250","23 ","0"
"741","23 ","4","1000","52 ","0"
"742","23 ","1","250","23 ","0"
"743","23 ","7","1750","88 ","0"
"744","16 ","3","750","86 ","0"
"745","23 ","2","500","38 ","0"
"746","21 ","2","500","52 ","0"
"747","23 ","3","750","62 ","0"
"748","39 ","1","250","39 ","0"
"749","72 ","1","250","72 ","0"
