"","V2","V3","V4","V5","V6","V7","V8","Decyzja"
"169","63  0","50  0","48  0","50  0","59  0","85  0","86   im","GALP_ECOLI  0"
"170","49  0","42  0","48  0","50  0","53  0","79  0","81   im","GLNP_ECOLI  0"
"171","31  0","50  0","48  0","50  0","57  0","84  0","85   im","GLPT_ECOLI  0"
"172","74  0","44  0","48  0","50  0","55  0","88  0","89   im","GLTP_ECOLI  0"
"173","33  0","45  0","48  0","50  0","45  0","88  0","89   im","KDGL_ECOLI  0"
"174","45  0","40  0","48  0","50  0","61  0","74  0","77   im","KGTP_ECOLI  0"
"175","71  0","40  0","48  0","50  0","71  0","70  0","74   im","LACY_ECOLI  0"
"176","50  0","37  0","48  0","50  0","66  0","64  0","69   im","LGT_ECOLI   0"
"177","66  0","53  0","48  0","50  0","59  0","66  0","66   im","LLDP_ECOLI  0"
"178","60  0","61  0","48  0","50  0","54  0","67  0","71   im","LNT_ECOLI   0"
"179","83  0","37  0","48  0","50  0","61  0","71  0","74   im","LSPA_ECOLI  0"
"180","34  0","51  0","48  0","50  0","67  0","90  0","90   im","LYSP_ECOLI  0"
"181","63  0","54  0","48  0","50  0","65  0","79  0","81   im","MALF_ECOLI  0"
"182","70  0","40  0","48  0","50  0","56  0","86  0","83   im","MALG_ECOLI  0"
"183","60  0","50  1","00  0","50  0","54  0","77  0","80   im","MCP3_ECOLI  0"
"184","16  0","51  0","48  0","50  0","33  0","39  0","48   im","MSBB_ECOLI  0"
"185","74  0","70  0","48  0","50  0","66  0","65  0","69   im","MTR_ECOLI   0"
"186","20  0","46  0","48  0","50  0","57  0","78  0","81   im","NANT_ECOLI  0"
"187","89  0","55  0","48  0","50  0","51  0","72  0","76   im","NHAA_ECOLI  0"
"188","70  0","46  0","48  0","50  0","56  0","78  0","73   im","NHAB_ECOLI  0"
"189","12  0","43  0","48  0","50  0","63  0","70  0","74   im","PHEP_ECOLI  0"
"190","61  0","52  0","48  0","50  0","54  0","67  0","52   im","PHOR_ECOLI  0"
"191","33  0","37  0","48  0","50  0","46  0","65  0","69   im","PNTA_ECOLI  0"
"192","63  0","65  0","48  0","50  0","66  0","67  0","71   im","POTE_ECOLI  0"
"193","41  0","51  0","48  0","50  0","53  0","75  0","78   im","PROP_ECOLI  0"
"194","34  0","67  0","48  0","50  0","52  0","76  0","79   im","PSTA_ECOLI  0"
"195","58  0","34  0","48  0","50  0","56  0","87  0","81   im","PSTC_ECOLI  0"
"196","59  0","56  0","48  0","50  0","55  0","80  0","82   im","PTAA_ECOLI  0"
"197","51  0","40  0","48  0","50  0","57  0","62  0","67   im","PTBA_ECOLI  0"
"198","50  0","57  0","48  0","50  0","71  0","61  0","66   im","PTCC_ECOLI  0"
"199","60  0","46  0","48  0","50  0","45  0","81  0","83   im","PTDA_ECOLI  0"
"200","37  0","47  0","48  0","50  0","39  0","76  0","79   im","PTFB_ECOLI  0"
"201","58  0","55  0","48  0","50  0","57  0","70  0","74   im","PTGB_ECOLI  0"
"202","36  0","47  0","48  0","50  0","51  0","69  0","72   im","PTHB_ECOLI  0"
"203","39  0","41  0","48  0","50  0","52  0","72  0","75   im","PTMA_ECOLI  0"
"204","35  0","51  0","48  0","50  0","61  0","71  0","74   im","PTOA_ECOLI  0"
"205","31  0","44  0","48  0","50  0","50  0","79  0","82   im","PTTB_ECOLI  0"
"206","61  0","66  0","48  0","50  0","46  0","87  0","88   im","RODA_ECOLI  0"
"207","48  0","49  0","48  0","50  0","52  0","77  0","71   im","SECE_ECOLI  0"
"208","11  0","50  0","48  0","50  0","58  0","72  0","68   im","SECF_ECOLI  0"
"209","31  0","36  0","48  0","50  0","58  0","94  0","94   im","SECY_ECOLI  0"
"210","68  0","51  0","48  0","50  0","71  0","75  0","78   im","TNAB_ECOLI  0"
"211","69  0","39  0","48  0","50  0","57  0","76  0","79   im","XYLE_ECOLI  0"
"212","52  0","54  0","48  0","50  0","62  0","76  0","79   im","YCEE_ECOLI  0"
"213","46  0","59  0","48  0","50  0","36  0","76  0","23   im","EXBD_ECOLI  0"
"214","36  0","45  0","48  0","50  0","38  0","79  0","17   im","FTSL_ECOLI  0"
"215","00  0","51  0","48  0","50  0","35  0","67  0","44   im","FTSN_ECOLI  0"
"216","10  0","49  0","48  0","50  0","41  0","67  0","21   im","FTSQ_ECOLI  0"
"217","30  0","51  0","48  0","50  0","42  0","61  0","34   im","MOTB_ECOLI  0"
"218","61  0","47  0","48  0","50  0","00  0","80  0","32   im","TOLA_ECOLI  0"
"219","63  0","75  0","48  0","50  0","64  0","73  0","66   im","TOLQ_ECOLI  0"
"220","71  0","52  0","48  0","50  0","64  1","00  0","99   im","EMRB_ECOLI  0"
"221","85  0","53  0","48  0","50  0","53  0","52  0","35  imS","ATKC_ECOLI  0"
"222","63  0","49  0","48  0","50  0","54  0","76  0","79  imS","NFRB_ECOLI  0"
"223","75  0","55  1","00  1","00  0","40  0","47  0","30  imL","NLPA_ECOLI  0"
"224","70  0","39  1","00  0","50  0","51  0","82  0","84  imL","CYOA_ECOLI  0"
"225","72  0","42  0","48  0","50  0","65  0","77  0","79  imU","ATKA_ECOLI  0"
"226","79  0","41  0","48  0","50  0","66  0","81  0","83  imU","BCR_ECOLI   0"
"227","83  0","48  0","48  0","50  0","65  0","76  0","79  imU","CADB_ECOLI  0"
"228","69  0","43  0","48  0","50  0","59  0","74  0","77  imU","CAIT_ECOLI  0"
"229","79  0","36  0","48  0","50  0","46  0","82  0","70  imU","CPXA_ECOLI  0"
"230","78  0","33  0","48  0","50  0","57  0","77  0","79  imU","CRED_ECOLI  0"
"231","75  0","37  0","48  0","50  0","64  0","70  0","74  imU","CYDB_ECOLI  0"
"232","59  0","29  0","48  0","50  0","64  0","75  0","77  imU","CYOB_ECOLI  0"
"233","67  0","37  0","48  0","50  0","54  0","64  0","68  imU","CYOE_ECOLI  0"
"234","66  0","48  0","48  0","50  0","54  0","70  0","74  imU","DMSC_ECOLI  0"
"235","64  0","46  0","48  0","50  0","48  0","73  0","76  imU","DPPB_ECOLI  0"
"236","76  0","71  0","48  0","50  0","50  0","71  0","75  imU","DSBD_ECOLI  0"
"237","84  0","49  0","48  0","50  0","55  0","78  0","74  imU","FEPD_ECOLI  0"
"238","77  0","55  0","48  0","50  0","51  0","78  0","74  imU","FEPG_ECOLI  0"
"239","81  0","44  0","48  0","50  0","42  0","67  0","68  imU","FTSH_ECOLI  0"
"240","58  0","60  0","48  0","50  0","59  0","73  0","76  imU","GLTS_ECOLI  0"
"241","63  0","42  0","48  0","50  0","48  0","77  0","80  imU","KEFC_ECOLI  0"
"242","62  0","42  0","48  0","50  0","58  0","79  0","81  imU","KUP_ECOLI   0"
"243","86  0","39  0","48  0","50  0","59  0","89  0","90  imU","MCP1_ECOLI  0"
"244","81  0","53  0","48  0","50  0","57  0","87  0","88  imU","MCP2_ECOLI  0"
"245","87  0","49  0","48  0","50  0","61  0","76  0","79  imU","MCP4_ECOLI  0"
"246","47  0","46  0","48  0","50  0","62  0","74  0","77  imU","MELB_ECOLI  0"
"247","76  0","41  0","48  0","50  0","50  0","59  0","62  imU","MOTA_ECOLI  0"
"248","70  0","53  0","48  0","50  0","70  0","86  0","87  imU","NUPC_ECOLI  0"
"249","64  0","45  0","48  0","50  0","67  0","61  0","66  imU","NUPG_ECOLI  0"
"250","81  0","52  0","48  0","50  0","57  0","78  0","80  imU","PNTB_ECOLI  0"
"251","73  0","26  0","48  0","50  0","57  0","75  0","78  imU","PTKC_ECOLI  0"
"252","49  0","61  1","00  0","50  0","56  0","71  0","74  imU","RHAT_ECOLI  0"
"253","88  0","42  0","48  0","50  0","52  0","73  0","75  imU","SECD_ECOLI  0"
"254","84  0","54  0","48  0","50  0","75  0","92  0","70  imU","SECG_ECOLI  0"
"255","63  0","51  0","48  0","50  0","64  0","72  0","76  imU","TEHA_ECOLI  0"
"256","86  0","55  0","48  0","50  0","63  0","81  0","83  imU","TYRP_ECOLI  0"
"257","79  0","54  0","48  0","50  0","50  0","66  0","68  imU","UHPB_ECOLI  0"
"258","57  0","38  0","48  0","50  0","06  0","49  0","33  imU","TONB_ECOLI  0"
"259","78  0","44  0","48  0","50  0","45  0","73  0","68  imU","LEP_ECOLI   0"
"260","78  0","68  0","48  0","50  0","83  0","40  0","29   om","FADL_ECOLI  0"
"261","63  0","69  0","48  0","50  0","65  0","41  0","28   om","FHUA_ECOLI  0"
"262","67  0","88  0","48  0","50  0","73  0","50  0","25   om","LAMB_ECOLI  0"
"263","61  0","75  0","48  0","50  0","51  0","33  0","33   om","NFRA_ECOLI  0"
"264","67  0","84  0","48  0","50  0","74  0","54  0","37   om","NMPC_ECOLI  0"
"265","74  0","90  0","48  0","50  0","57  0","53  0","29   om","OMPA_ECOLI  0"
"266","73  0","84  0","48  0","50  0","86  0","58  0","29   om","OMPC_ECOLI  0"
"267","75  0","76  0","48  0","50  0","83  0","57  0","30   om","OMPF_ECOLI  0"
"268","77  0","57  0","48  0","50  0","88  0","53  0","20   om","OMPX_ECOLI  0"
"269","74  0","78  0","48  0","50  0","75  0","54  0","15   om","PHOE_ECOLI  0"
"270","68  0","76  0","48  0","50  0","84  0","45  0","27   om","TSX_ECOLI   0"
"271","56  0","68  0","48  0","50  0","77  0","36  0","45   om","BTUB_ECOLI  0"
"272","65  0","51  0","48  0","50  0","66  0","54  0","33   om","CIRA_ECOLI  0"
"273","52  0","81  0","48  0","50  0","72  0","38  0","38   om","FECA_ECOLI  0"
"274","64  0","57  0","48  0","50  0","70  0","33  0","26   om","FEPA_ECOLI  0"
"275","60  0","76  1","00  0","50  0","77  0","59  0","52   om","FHUE_ECOLI  0"
"276","69  0","59  0","48  0","50  0","77  0","39  0","21   om","OMPP_ECOLI  0"
"277","63  0","49  0","48  0","50  0","79  0","45  0","28   om","OMPT_ECOLI  0"
"278","71  0","71  0","48  0","50  0","68  0","43  0","36   om","TOLC_ECOLI  0"
"279","68  0","63  0","48  0","50  0","73  0","40  0","30   om","PA1_ECOLI   0"
"280","77  0","57  1","00  0","50  0","37  0","54  0","01  omL","MULI_ECOLI  0"
"281","66  0","49  1","00  0","50  0","54  0","56  0","36  omL","NLPB_ECOLI  0"
"282","71  0","46  1","00  0","50  0","52  0","59  0","30  omL","NLPE_ECOLI  0"
"283","67  0","55  1","00  0","50  0","66  0","58  0","16  omL","PAL_ECOLI   0"
"284","68  0","49  1","00  0","50  0","62  0","55  0","28  omL","SLP_ECOLI   0"
"285","74  0","49  0","48  0","50  0","42  0","54  0","36   pp","AGP_ECOLI   0"
"286","70  0","61  0","48  0","50  0","56  0","52  0","43   pp","AMY1_ECOLI  0"
"287","66  0","86  0","48  0","50  0","34  0","41  0","36   pp","ARAF_ECOLI  0"
"288","73  0","78  0","48  0","50  0","58  0","51  0","31   pp","ASG2_ECOLI  0"
"289","65  0","57  0","48  0","50  0","47  0","47  0","51   pp","BGLX_ECOLI  0"
"290","72  0","86  0","48  0","50  0","17  0","55  0","21   pp","C562_ECOLI  0"
"291","67  0","70  0","48  0","50  0","46  0","45  0","33   pp","CN16_ECOLI  0"
"292","67  0","81  0","48  0","50  0","54  0","49  0","23   pp","CYPH_ECOLI  0"
"293","67  0","61  0","48  0","50  0","51  0","37  0","38   pp","CYSP_ECOLI  0"
"294","63  1","00  0","48  0","50  0","35  0","51  0","49   pp","DGAL_ECOLI  0"
"295","57  0","59  0","48  0","50  0","39  0","47  0","33   pp","DPPA_ECOLI  0"
"296","71  0","71  0","48  0","50  0","40  0","54  0","39   pp","DSBA_ECOLI  0"
"297","66  0","74  0","48  0","50  0","31  0","38  0","43   pp","DSBC_ECOLI  0"
"298","67  0","81  0","48  0","50  0","25  0","42  0","25   pp","ECOT_ECOLI  0"
"299","64  0","72  0","48  0","50  0","49  0","42  0","19   pp","ECPD_ECOLI  0"
"300","68  0","82  0","48  0","50  0","38  0","65  0","56   pp","FECB_ECOLI  0"
"301","32  0","39  0","48  0","50  0","53  0","28  0","38   pp","FECR_ECOLI  0"
"302","70  0","64  0","48  0","50  0","47  0","51  0","47   pp","FEPB_ECOLI  0"
"303","63  0","57  0","48  0","50  0","49  0","70  0","20   pp","FIMC_ECOLI  0"
"304","74  0","82  0","48  0","50  0","49  0","49  0","41   pp","GGT_ECOLI   0"
"305","63  0","86  0","48  0","50  0","39  0","47  0","34   pp","GLNH_ECOLI  0"
"306","63  0","83  0","48  0","50  0","40  0","39  0","19   pp","GLPQ_ECOLI  0"
"307","63  0","71  0","48  0","50  0","60  0","40  0","39   pp","HTRA_ECOLI  0"
"308","71  0","86  0","48  0","50  0","40  0","54  0","32   pp","LIVJ_ECOLI  0"
"309","68  0","78  0","48  0","50  0","43  0","44  0","42   pp","LIVK_ECOLI  0"
"310","64  0","84  0","48  0","50  0","37  0","45  0","40   pp","MALE_ECOLI  0"
"311","74  0","47  0","48  0","50  0","50  0","57  0","42   pp","MALM_ECOLI  0"
"312","75  0","84  0","48  0","50  0","35  0","52  0","33   pp","MEPA_ECOLI  0"
"313","63  0","65  0","48  0","50  0","39  0","44  0","35   pp","MODA_ECOLI  0"
"314","69  0","67  0","48  0","50  0","30  0","39  0","24   pp","NRFA_ECOLI  0"
"315","70  0","71  0","48  0","50  0","42  0","84  0","85   pp","NRFF_ECOLI  0"
"316","69  0","80  0","48  0","50  0","46  0","57  0","26   pp","OPPA_ECOLI  0"
"317","64  0","66  0","48  0","50  0","41  0","39  0","20   pp","OSMY_ECOLI  0"
"318","63  0","80  0","48  0","50  0","46  0","31  0","29   pp","POTD_ECOLI  0"
"319","66  0","71  0","48  0","50  0","41  0","50  0","35   pp","POTF_ECOLI  0"
"320","69  0","59  0","48  0","50  0","46  0","44  0","52   pp","PPA_ECOLI   0"
"321","68  0","67  0","48  0","50  0","49  0","40  0","34   pp","PPB_ECOLI   0"
"322","64  0","78  0","48  0","50  0","50  0","36  0","38   pp","PROX_ECOLI  0"
"323","62  0","78  0","48  0","50  0","47  0","49  0","54   pp","PSTS_ECOLI  0"
"324","76  0","73  0","48  0","50  0","44  0","39  0","39   pp","PTR_ECOLI   0"
"325","64  0","81  0","48  0","50  0","37  0","39  0","44   pp","RBSB_ECOLI  0"
"326","29  0","39  0","48  0","50  0","52  0","40  0","48   pp","SPEA_ECOLI  0"
"327","62  0","83  0","48  0","50  0","46  0","36  0","40   pp","SUBI_ECOLI  0"
"328","56  0","54  0","48  0","50  0","43  0","37  0","30   pp","TBPA_ECOLI  0"
"329","69  0","66  0","48  0","50  0","41  0","50  0","25   pp","TESA_ECOLI  0"
"330","69  0","65  0","48  0","50  0","63  0","48  0","41   pp","TOLB_ECOLI  0"
"331","43  0","59  0","48  0","50  0","52  0","49  0","56   pp","TORA_ECOLI  0"
"332","74  0","56  0","48  0","50  0","47  0","68  0","30   pp","TREA_ECOLI  0"
"333","71  0","57  0","48  0","50  0","48  0","35  0","32   pp","UGPB_ECOLI  0"
"334","61  0","60  0","48  0","50  0","44  0","39  0","38   pp","USHA_ECOLI  0"
"335","59  0","61  0","48  0","50  0","42  0","42  0","37   pp","XYLF_ECOLI  0"
"336","74  0","74  0","48  0","50  0","31  0","53  0","52   pp","YTFQ_ECOLI  0"
